FSC-A,SSC-A,Zombie-Violet-A,Alexa Fluor 647-A
132979,22877,599,177
45506,60573,12408,160
109049,63175,14122,338
85071,42718,332,460
80656,26442,1216,61
101581,24720,24702,4070
114366,67375,517,1531
131429,18825,1341,942
94441,41983,760,395
103394,72068,48272,86
73037,18176,1492,226
117827,107042,380,133
86917,25185,545,177
112469,19351,375,50
56447,30975,437,5387
104560,70356,1184,1689
56714,30801,16655,5288
82683,54340,9231,177
102760,29263,2405,237
143299,31655,2062,251
101164,47041,15816,338
93149,24442,1719,194
155245,40902,14743,8368
136341,20908,583,107
32918,28020,484,61
126771,18660,627,159
85615,15241,152,295
102695,40414,23507,350
83974,44950,16345,330
76914,65685,1772,114
107462,147304,717,190
102772,46183,515,9155
113867,69856,364,245
138534,47033,485,103
104060,31998,12852,2963
108043,35066,853,96
88312,37661,17911,50
158650,25945,730,6273
71674,36554,527,432
144268,45939,976,96
102391,40067,4939,5591
190958,47980,446,253
116262,35862,3372,106
77115,24319,17916,3704
105456,49366,1525,99
99403,70328,408,80
130106,34623,1407,201
142721,36215,1103,4242
115542,43117,20983,4709
90721,35439,663,121
152589,57992,557,5591
108747,59022,7486,4157
106208,33263,674,402
135431,34472,13991,1660
137373,16746,1181,277
84959,40093,523,5935
94081,19794,625,45
109348,63606,1623,4046
131742,39607,283,153
110125,42768,1248,131
127603,35275,1673,118
91336,38946,929,3674
116663,25277,2420,4557
93350,36240,734,231
85942,80758,259,3658
75614,41943,471,212
144664,49740,244,249
93467,59895,203,2776
123375,47079,288,5102
62349,26780,9495,3083
140908,38467,1727,57
103761,39872,18146,229
108055,48977,1444,197
109995,56140,231,142
107372,22170,1386,3202
95776,23359,529,5440
82681,27419,5869,89
70957,23069,709,106
94710,32171,790,22
110244,23724,364,112
109621,42755,318,271
114354,39680,213,1916
105269,26039,323,51
89259,65388,2659,3379
101734,37351,18433,13320
112659,43958,347,43
102726,43509,5223,5826
141423,39781,540,2806
99424,11904,3397,187
104012,43771,615,5743
164173,40620,555,82
156119,60984,492,36
84600,65155,1759,74
90307,30481,931,7384
127478,29966,9883,274
75424,33414,1429,333
67471,28738,852,1370
104207,30292,69201,1685
149405,14247,1852,2223
97439,46962,181,712
124256,36260,984,57
98311,34038,253,1916
124976,13451,3380,7788
67129,18171,960,218
77330,58868,1752,216
74922,24635,453,563
88481,40428,20486,86
86067,68317,383,10143
91120,38209,996,6840
93975,35561,9033,5086
73279,51417,386,5625
112702,59530,486,2049
83977,37402,625,3699
83713,38503,1108,128
120966,64141,460,6177
97602,30064,493,322
76650,36975,488,17984
103476,64702,479,166
101985,41361,22389,204
138339,17966,23049,2281
88558,68942,23670,81
79998,82020,2160,18255
111266,62189,644,3655
106606,54636,1124,10962
114446,27949,148,186
162069,29919,37084,6324
83544,47179,1198,156
90655,42055,579,334
60429,52661,1449,44
87745,56043,13761,303
88132,18742,869,1747
92120,46383,26209,90
116406,47969,55787,119
71459,21772,13003,6688
65577,53943,244,6214
144217,56306,1226,3489
162904,32288,405,234
111017,38408,236,1137
98335,46042,1549,1734
78438,48159,557,12172
100811,23523,563,232
142936,43403,193,6833
106332,30098,824,101
125438,20584,103,1137
111207,63695,1646,127
64232,50724,5764,98
77706,71536,494,34
144074,36819,496,104
97256,43988,655,3215
125991,35143,365,7814
94303,71245,69060,213
122144,37203,28647,8439
73574,45371,992,133
113835,61400,305,189
100722,50063,18473,191
110509,37180,159,144
125637,56367,13812,323
70258,40225,1175,73
130237,60207,27322,4497
93909,28734,505,4205
95987,43196,1348,276
106549,20978,557,5855
81514,25761,958,174
136708,48594,184,1037
149924,81508,450,331
82881,87831,355,3080
91176,37442,704,3753
126214,84941,306,1728
104150,45807,894,2384
113631,39075,390,17331
77065,32631,1588,501
108773,47048,3917,146
86276,21815,388,464
116246,45706,7720,90
104215,40198,260,1916
94448,47084,375,3527
98787,30969,505,4140
88643,37352,557,133
92888,43351,29633,2236
75014,62540,11765,391
68069,35121,168,237
129021,44896,17881,93
87720,33154,804,65
70791,62181,2565,11682
176718,49100,20874,1749
110605,46806,508,261
122786,97065,212,165
84895,15916,1093,207
147727,19129,389,5629
105641,31080,176,7866
73814,33692,252,135
96389,48761,182,3465
65557,18140,793,2304
149234,29984,563,106
124738,30615,8894,132
68749,21836,1804,7596
158578,31940,580,11762
124950,39220,35519,1141
112277,25204,254,2071
129209,57533,175,109
126588,45966,1284,90
84260,48022,4865,2819
95802,41992,11638,11417
180879,25831,1893,233
88744,37963,706,163
106379,29353,2015,180
101711,118044,3616,5670
128724,44731,33161,10538
97525,44156,169,155
107111,35983,49286,5783
131508,47916,552,30
106018,29839,232,136
116715,30398,268,2379
109431,32108,1198,202
57114,36675,432,246
128022,35170,243,116
41968,29064,1972,152
72800,38393,23745,4611
153641,47133,769,1802
64363,100913,20643,99
88503,48288,6343,299
80119,54819,20255,4631
155533,66971,971,2026
120290,31405,13157,134
158055,78488,201,5250
86494,13459,1465,6624
104843,63681,442,115
68125,36698,1478,5725
107431,47040,241,419
98767,74281,335,2750
96339,51849,1169,2887
90895,48471,554,2649
139490,33116,943,212
78374,22281,804,51
98885,43337,728,4770
87140,66220,649,4845
114795,38713,10578,23
93539,32963,117,4293
85864,63644,340,398
81022,77051,1505,196
82036,34849,1030,9454
76701,73683,357,151
115921,21562,4709,47
92430,30313,227,146
91947,25732,125,324
107091,32933,9453,353
104459,32247,2189,338
115576,17161,8590,162
115923,34542,526,97
115376,42308,1593,11998
80068,42111,1441,309
103022,43674,731,47
131412,83395,433,2926
93607,16062,17927,67
61543,54675,448,2990
77859,16552,205,161
130757,34494,1077,728
91643,42833,4890,501
113034,63817,1060,55
139000,61775,584,83
95657,58161,2512,308
84578,87496,1207,2545
91905,55463,43272,463
88394,51139,239,1802
91480,40364,462,51
78348,36878,8470,62
110418,40808,1023,18756
70385,11804,335,147
110460,55087,349,4721
88304,24535,6404,634
98292,25495,2392,4033
118244,62588,824,4730
129149,35049,564,35
102758,55853,409,122
133574,14779,1228,6862
89289,46554,1259,2394
105509,32013,353,119
91700,31851,11554,11017
144391,51981,287,6848
168434,44168,1043,3439
85314,124493,1126,3243
105527,15792,899,368
114140,38229,6784,2971
151132,52308,22193,1704
84892,63908,5910,103
87300,49309,10297,161
67083,53330,471,80
93932,35933,548,4676
135640,90910,34301,1816
91942,37664,18517,122
99543,34062,419,310
151545,62405,706,81
103263,37528,785,4626
73964,100899,562,1253
90356,69604,599,6837
65989,29434,850,10235
63769,35290,3343,248
83329,23987,11446,94
118712,39735,717,5067
106346,54151,220,266
80594,29574,768,77
128529,43430,834,2240
94454,82427,149,165
107879,34566,334,801
91103,63970,15814,265
99451,48618,482,157
51747,57601,95,168
113961,55262,533,156
85970,64051,528,246
81529,50026,215,3569
91459,57972,739,2536
137966,45775,292,153
98930,31476,6761,179
79317,37709,613,6530
81508,26326,18125,29
101871,43583,420,142
90778,32272,949,4458
158586,25702,80,112
140303,26987,1522,1033
72479,107990,393,347
157184,48646,16698,126
107094,40114,395,8139
50146,23103,1403,155
89368,25121,139,4890
98298,14296,613,166
48246,30998,573,194
92684,18256,2169,264
82844,32072,54931,350
105781,13713,843,6146
98284,35380,5937,54
112638,35112,607,271
73542,52445,179,146
121827,56917,12813,1794
98217,51458,3681,1869
68494,33075,494,159
92165,57705,740,4500
111016,28574,124,4455
109973,37884,940,498
165337,79806,114,3196
101067,32028,458,7559
115293,32044,913,96
105359,41709,22780,124
55533,43676,1047,6394
92546,27721,20987,1231
89378,33056,113,7377
164655,29573,1265,8112
91564,35994,2969,3336
119258,28187,406,2474
120864,45110,2966,6565
103096,50192,398,435
114858,35248,514,4764
87607,29509,1643,5539
100184,34250,238,117
75484,45943,178,136
127537,40685,39757,3510
99391,53742,1147,4047
72441,21326,1107,6261
104930,32135,34815,3016
68039,24039,2001,4549
115565,42446,6369,15037
100797,52026,2039,117
76730,23858,557,13640
125446,58963,202,576
145768,24115,7260,466
153815,21527,16593,7289
98475,40616,365,9672
91551,44333,26522,5264
168832,50918,43456,67
122941,60800,232,966
101868,75565,1654,4294
99017,27341,21833,41
126995,19643,7020,6854
150128,35503,264,6800
146198,49951,283,89
136634,61319,306,510
118467,35170,657,162
83677,37674,38664,70
76070,41320,1408,4202
75137,37660,1242,1560
95775,61872,6433,5066
107061,25063,253,128
69229,21833,396,127
116054,13234,42509,9063
100378,28374,141,5737
65890,75378,1082,2329
64440,83332,647,114
67083,87206,144,5493
108425,23719,298,46
138546,36409,483,111
105801,21058,259,578
60421,46925,2087,10150
97131,76192,589,114
73123,60812,510,91
63140,40086,338,15476
139144,20339,371,135
113367,25279,29278,6498
94720,34896,500,4126
80086,27693,718,10455
87429,29526,2214,177
103597,21502,849,4075
106509,48581,355,318
81188,48358,825,2736
150045,67579,626,139
136900,48046,1383,137
65543,39134,1099,890
111226,44029,605,709
84955,34276,45165,1484
158566,16392,821,411
91216,43073,6994,226
127456,67562,328,4287
98607,40230,488,5642
179206,62065,658,233
112906,90289,1077,237
116605,74794,11696,31
99525,28222,11425,7510
113750,31309,12294,161
66353,130145,20560,165
123056,40759,4808,3646
100523,26322,892,4482
79611,34139,509,6303
80190,63426,56,4407
113980,38726,3517,258
176931,35714,4592,107
216425,25917,14645,5155
110504,21656,13469,2139
133166,34785,931,1850
142139,69763,691,156
99688,28225,522,11326
129998,50474,3434,4523
167143,45704,1792,137
141381,34957,592,113
95731,36409,4046,3613
123517,60893,114,5042
58590,26399,17472,146
149721,59957,419,223
84027,28590,407,13486
117607,58416,666,74
73115,33306,7131,14479
174368,35567,22967,2826
102887,92536,159,162
132185,81724,290,408
60661,48021,187,280
91554,43036,15967,216
116795,79644,6384,2875
110518,36277,7907,478
139464,28171,496,319
108848,49478,8218,85
74170,39259,275,244
83904,42339,630,61
100867,37263,3730,15295
97674,52140,324,4047
85906,47610,611,149
135850,50508,62675,419
127346,32525,515,100
86236,37719,634,59
112198,26488,863,1184
109940,53481,161,172
103741,30851,991,114
87523,28863,1022,160
93324,30206,1255,189
99025,37241,978,684
96484,20351,6894,61
97034,49274,536,169
112231,27391,711,29
165982,51730,380,3778
185854,33332,1379,2469
150386,69688,11367,1668
133469,34046,526,217
88952,37873,8239,3089
68722,34626,26279,9902
97856,59810,65431,1699
118122,29862,5712,8818
131009,23730,205,2522
63554,54246,250,161
155550,81936,12611,9175
64486,26150,1268,163
81255,61009,259,2285
66988,33707,5273,6201
89866,34351,8169,49
91138,39698,307,5336
118084,33286,459,8330
66163,34866,43518,3219
70383,60265,801,80
172223,34911,228,44
84193,47489,20666,228
118318,31362,222,235
117031,82906,505,2363
75719,57510,458,206
75989,73391,156,288
79030,39493,423,738
115573,32203,19225,238
61778,37357,5245,1412
91644,23321,446,197
105454,41805,1052,2040
135274,27879,1021,2340
134538,41963,743,90
91767,58142,415,187
97046,50004,472,7596
76421,48178,1391,6576
107768,31481,55069,79
90888,51830,1019,155
136889,18167,142,5709
115353,28932,438,4293
110237,37502,861,6289
112694,31541,433,1301
88046,25097,464,5103
90474,24955,290,2945
118037,29461,528,2772
86216,39508,96,120
120257,51886,252,281
73214,32623,896,188
130528,36421,7104,2843
158972,40852,646,95
73665,23775,172,1944
68310,66587,974,228
99489,57697,1838,389
77695,43020,74,3468
137952,24119,1045,75
96723,31900,681,35
86249,37801,26781,1246
90016,72504,5189,319
92413,69209,645,1766
104297,34482,4323,6579
101708,31961,1369,108
98973,61947,5900,247
67086,40703,6487,1384
55871,96767,203,198
90695,64151,185,104
104139,49862,162,3556
103760,24997,81589,146
84796,33366,888,138
93449,60924,930,51
102006,58519,222,225
128615,53261,335,1197
64691,42470,673,9289
163557,29816,725,101
125170,49402,2475,678
127999,24888,27607,64
63284,36597,7880,7887
117545,36522,1055,164
82756,75881,285,51
134062,41210,547,2906
108009,40143,476,515
73540,23040,19173,141
108683,54355,1058,4420
84320,75944,1502,2732
107544,32332,541,2752
148758,35800,719,1524
111947,54684,709,144
104944,44290,337,109
144999,81759,301,211
87838,58096,2013,2155
74826,54081,311,3235
75672,16274,312,245
59663,43723,455,249
70647,34932,1028,252
108269,31875,679,199
212897,28325,315,1631
74658,25069,998,123
144160,31851,13316,1748
95424,57828,490,142
70351,40666,763,149
82664,36854,190,8898
112115,36723,21336,112
198488,81771,7933,162
87106,37609,8805,129
91701,43570,1252,5096
101584,22486,18222,124
147294,34646,541,24
101742,38859,478,2761
87099,62905,15376,38
154392,34999,10344,178
94651,68428,1150,181
74829,85424,588,71
79587,30778,635,90
89713,32967,417,223
117661,42453,352,272
117631,39058,43252,159
151567,22221,4225,166
154980,25802,549,64
109063,71468,552,221
109423,31818,575,7284
90874,47289,17727,2703
83202,47361,1212,2708
128574,34954,499,2975
117885,74845,590,149
65518,33467,2729,91
116083,43522,1945,388
115264,28155,26957,148
125566,41928,207,3241
100787,36957,15936,1410
90937,21413,2154,15465
100424,35064,420,2024
65883,14809,151,276
112438,64793,589,1720
141365,75640,4585,80
82230,52934,908,46
93387,30048,44662,976
99075,27589,152,4405
55941,53685,17410,4203
75844,88430,654,5639
155589,45541,2534,94
86659,47213,591,7001
133378,46583,19341,164
80411,12521,1371,178
98237,79388,912,247
65357,81688,1159,20
127443,36631,427,208
58998,45853,468,5774
132893,15875,1228,680
74200,33075,77497,460
84712,29626,1304,1853
89246,55824,917,385
77781,23940,407,345
77568,44419,15333,94
120072,36862,394,8913
85673,26445,2034,176
61465,67749,689,65
141195,20590,316,227
145763,34968,249,333
66074,28269,512,1043
97945,25295,219,202
142114,45024,1192,368
106894,31756,1414,3031
103851,39802,2552,75
168117,45221,615,147
66235,35113,2818,4065
142396,35591,616,94
133369,57686,162,107
75638,41313,359,4087
108635,45219,3686,2141
57863,37744,814,237
129487,17331,1745,318
120563,36091,430,2753
112573,81025,1128,4882
107748,29225,300,5005
82063,49336,58622,74
105892,55563,956,487
84116,26395,28478,186
93923,58732,250,155
73540,86504,762,177
105938,27111,282,223
60221,54564,477,4093
63815,59819,464,14851
83775,39041,13764,172
102405,38630,15841,5217
108774,30641,358,74
61223,68824,16555,9763
67361,29247,216,1850
119710,56547,692,7323
158295,31258,2473,123
79139,24929,388,4639
75987,29757,1031,7700
97877,33652,23132,188
53766,33110,1431,4092
105341,50101,428,7749
133172,63260,1512,125
177359,30507,882,6610
94037,36947,529,80
116588,16688,32128,201
91204,41124,22141,113
96034,81782,2293,375
90695,36092,16797,129
104317,32736,486,306
107380,21145,21373,28
119567,30695,1740,104
188505,28329,24642,169
99424,38883,548,45
77287,35721,31557,90
119331,50459,252,2030
165239,29224,284,262
87553,58906,1780,151
136459,22453,383,169
103126,65718,4739,1106
88930,47541,339,81
74423,37985,1071,6653
94066,62465,4547,80
101185,29418,611,5189
95178,44890,2322,9254
80068,59938,4626,7023
102333,64843,262,81
107520,46557,16530,2889
70699,42032,427,200
162729,48158,8366,211
75137,57392,264,7934
145088,47327,1651,1312
94207,23734,326,4539
128562,54277,1583,17169
49446,47241,634,205
94643,11618,4688,890
122392,42580,322,6450
90146,45676,117,3969
116719,40191,695,50
92996,24782,17931,82
139505,156540,223,4318
104668,16236,686,625
90647,34917,1484,63
92500,54318,145,405
79288,39284,626,249
91094,41284,570,5652
103701,61791,18793,7093
117932,27790,7634,11968
84838,30091,27123,2396
78265,26951,590,164
92050,26334,728,2435
106662,56800,1304,3146
85138,39409,533,71
110759,37526,144,61
107438,58770,13754,298
120174,24224,942,126
52820,44979,391,6004
125799,22619,261,9120
70994,21390,494,105
97343,31573,874,2585
179393,43172,600,3640
53485,37965,551,531
92200,28422,19130,411
101811,39552,255,235
95420,38250,137,7238
122561,30034,585,278
138841,43854,761,2611
121783,61200,305,221
115614,52831,422,171
92612,36119,370,287
91422,25465,686,600
147715,66426,4924,48
90832,54461,393,1927
110620,175804,828,112
97714,50890,432,2311
121371,18739,4671,469
115535,40499,1029,230
98326,48526,139,198
80212,71451,24212,2153
129797,41623,11197,145
120029,76657,29015,6158
85573,25704,826,274
138294,43004,41,7475
151214,67099,933,144
93777,62194,22692,367
119702,49946,316,3041
165213,46700,428,333
104311,30633,368,3562
118372,20047,406,5200
68750,42425,232,5006
81041,106651,819,173
129082,28136,468,95
74685,18264,385,7284
122679,26971,11346,6016
193336,16850,12683,145
69675,33734,536,138
82193,65062,1659,3903
63569,38247,8537,4471
77651,67306,943,3944
136762,57180,316,111
53843,74105,1816,3565
147404,45084,21131,18619
62624,49646,433,102
58001,86632,880,6236
71878,80658,323,81
128007,35446,689,1682
136625,42328,1632,463
97429,30419,210,1500
108556,42052,437,125
66430,32823,20169,324
108953,47306,1083,154
125053,34608,279,1506
95410,47630,871,1724
153115,29759,343,386
93675,34196,6907,136
91296,34093,2375,225
80771,47042,316,3166
148343,28812,11197,105
149938,75217,1125,3242
95068,98186,462,2211
135579,53434,1495,436
79605,44612,17132,7124
117513,44330,56978,88
134858,36873,1038,45
104095,16032,961,1344
81358,58049,641,123
97821,34579,15266,218
72252,32524,19028,296
108961,48398,2162,269
82606,26698,20236,72
132940,52365,16231,39
108248,23875,450,4321
73651,28104,619,112
131315,40206,832,3065
93767,57348,2318,144
84372,49151,811,467
112306,49304,235,153
134877,79475,3282,103
112241,29463,554,41
71280,46121,1142,190
99173,23772,1462,69
84844,21607,1086,500
85759,30188,569,2912
102366,72125,384,3863
83968,26496,1115,171
162480,40260,398,205
69454,45828,376,138
79743,42480,1000,139
71844,30207,143,228
128152,47042,16527,3902
170417,52910,9857,235
58928,36733,613,1971
78453,22695,204,61
95935,35894,2038,2817
181512,31241,1872,7736
73925,66150,377,257
94061,31986,517,48
89837,18925,23103,370
95587,35545,659,6022
112712,32333,432,236
78533,54134,34016,4530
78431,27232,988,5319
69058,40578,985,9791
73586,38984,1316,3241
95085,25755,925,2884
87849,69186,11964,176
84904,69879,90,154
112633,30483,191,6132
99119,53488,119,220
107949,42286,7488,3361
78501,56860,162,107
148058,27072,42169,4410
79598,32597,735,106
114763,53873,909,11641
81848,24317,16894,4273
180327,38702,1407,4155
103196,42965,924,263
78335,37690,1670,6396
149277,80052,12655,84
179305,47219,1051,362
65987,50905,19017,10216
195616,24287,17489,5609
118467,56307,309,84
154293,27469,1804,3375
73443,68727,1595,1717
129155,55455,299,8699
113968,54103,1092,106
68612,16528,10405,59
69105,39528,282,3199
44370,57548,1071,1669
100628,45899,772,4683
70478,25219,3524,395
102367,48665,829,1636
130643,31455,21176,7846
88807,41512,918,151
138279,58934,373,111
129796,41863,317,272
132741,21123,29778,207
150477,33880,123,241
76349,32343,270,1889
104618,36355,34953,147
149094,60407,2491,4012
59577,79043,477,5193
145861,50764,1574,1578
74269,40079,640,2739
87993,48987,18822,2247
115347,30105,697,138
134890,30387,1098,3628
112864,36399,713,7737
95060,64886,1409,294
66268,25626,1259,233
107181,29233,154,1781
99469,48645,290,1698
101736,39300,4325,3987
111149,48054,290,180
99683,44454,1042,174
87566,115704,651,9687
107921,29274,324,43
77404,20224,48726,3538
76586,27672,9261,98
87312,78498,768,218
123570,82123,319,7363
89953,32203,11015,96
77857,53066,93,2471
155577,36394,3967,253
104991,50140,429,1636
70350,22296,693,3728
92787,52024,5784,3169
127274,32981,98,185
104471,30684,22248,254
90289,33276,253,31
141844,48530,363,194
73914,30117,662,127
138732,24596,2980,82
58004,43118,611,672
96738,42150,37431,60
63733,58354,1546,3434
124667,48713,799,3584
61772,18561,1031,242
87873,62291,1026,57
101568,50427,653,2825
113043,51607,48314,6849
170117,23362,701,158
132417,54723,1756,511
113855,25724,1251,400
101108,22905,799,71
119102,27190,152,8862
189547,22458,30017,79
114569,63646,578,152
84434,42030,275,161
121472,32510,854,279
104306,26158,178,70
95797,30915,180,212
145856,58376,602,205
111793,48972,937,248
148894,40962,6287,9612
79591,23224,765,7929
84759,25078,10677,237
119949,28034,456,2663
98282,54565,919,1218
88132,76364,362,176
118951,78839,147,331
102374,26110,79007,143
108269,46811,521,2011
87211,45528,715,4849
115564,70129,2270,4164
86925,81571,594,2068
150491,22439,299,2422
81818,43633,200,31
104913,38924,1257,7423
94550,21959,977,215
85266,34963,2792,2448
97491,49555,11459,8671
68803,14947,189,3557
106780,39376,1622,24
115356,32302,482,2166
137349,57596,478,27
70255,21318,1881,43
74492,33353,22389,133
107150,47479,21369,49
68371,44577,244,22940
72428,47655,7966,3342
96165,33351,618,7417
65835,27052,429,1107
78964,62718,9112,199
67709,58771,397,186
102843,38439,873,5103
56997,27140,640,4199
177514,35425,410,7597
90766,118139,335,147
158410,49394,18985,6080
112767,23595,2565,4164
84648,33086,225,11977
112938,37172,1728,3374
113928,32216,468,245
155252,32200,10356,4494
145140,24454,1299,160
62960,19080,483,4998
79766,33404,353,250
63379,59769,370,1531
110047,28047,329,1809
83702,66861,1130,2920
122814,31894,883,445
117025,30079,825,154
119447,33477,986,4312
128126,58086,294,3003
98976,50762,254,33500
139398,26775,10482,137
110019,61640,876,6202
146794,54693,857,96
68260,22915,430,230
72204,36212,1057,47
125906,47081,1366,1944
155700,32937,778,6534
123211,41891,16339,944
99876,58628,918,302
58091,51617,1148,296
126188,45414,201,2825
148799,23569,20669,217
96749,42904,1643,6945
121479,37064,327,123
121139,21687,905,2487
109886,63860,544,99
82193,79270,307,293
134307,47871,583,6684
89336,38029,950,194
136095,29892,383,2369
101051,35098,304,1527
86902,54831,426,238
104540,36997,6867,17194
111613,59381,642,302
100625,46790,437,108
82461,63459,686,2344
64685,45496,811,10590
65957,26864,377,228
114768,46501,418,72
120647,65703,536,174
124962,18689,798,56
133780,26113,1170,193
78524,50178,3927,3797
91970,53958,416,57
115691,27527,749,5142
85254,28496,723,135
79066,22000,469,238
147457,69214,12889,6643
111536,41346,256,241
143991,47711,279,52
107914,19209,403,2003
180668,44346,240,150
145514,77636,303,3315
143775,82709,1878,1026
86885,56949,281,217
118638,14061,428,166
101205,29690,216,256
66782,24591,275,1964
89856,39390,200,13256
91032,12798,980,71
109248,40727,1082,3408
61936,56582,26122,140
90491,47122,210,276
96780,34496,574,110
107717,24811,461,347
95239,41205,790,1597
91866,28589,287,2416
75660,61592,16414,3333
108746,34402,707,60
65169,43712,224,175
86014,50763,270,2062
114177,34053,1891,8355
58849,45422,2009,1241
118330,81988,7979,11363
84789,20399,3861,4726
91626,23918,882,920
107315,30248,705,952
89066,64159,1341,1915
174177,31100,111,126
156700,33897,37130,277
186931,26741,7177,159
169491,44198,1707,144
101871,23578,367,57
52119,149311,21822,630
143670,79825,861,1873
147394,51388,216,80
87332,41882,712,162
168138,63161,942,13000
75936,35223,214,115
107517,105682,3727,128
76610,17875,2083,130
61342,29734,584,306
65347,25379,1389,271
191974,63255,757,141
92409,70677,634,1237
101500,29694,37714,592
158417,32946,635,93
88630,30241,1625,106
95972,63151,1958,72
95033,48627,481,309
126755,31260,148,105
91865,33644,210,2917
77654,48591,1768,1028
62243,28060,1118,2967
101161,54371,8772,3779
90171,46691,353,4228
123042,39332,372,1402
171276,18890,277,7132
67191,27219,687,6492
107226,28813,604,137
83063,41234,26339,274
69435,51184,448,80
94527,38148,848,4813
73564,32606,598,5286
191198,70087,746,4128
120488,39147,29574,5569
94049,58511,824,1899
108904,22910,543,98
50996,53586,3346,4170
98785,30761,10767,526
114540,14980,14100,6675
104361,53357,1092,174
90483,31896,995,199
54144,46695,398,3089
51345,17576,358,3361
107517,44319,1361,87
85953,76863,1080,208
104537,34274,493,23757
127878,30779,354,23037
81223,82088,753,11000
145585,35724,1373,2216
90686,46219,372,3709
97607,24838,497,6081
120173,42746,519,6203
135552,47735,146,3400
51467,43239,1469,173
77877,35393,391,325
72571,34769,664,9279
79582,56197,586,2002
110736,54659,665,8537
113722,74744,542,100
86917,37339,352,143
125799,33412,18426,2071
77214,26771,570,8191
105271,30105,116,201
