FSC-A,SSC-A,Zombie-Violet-A,Alexa Fluor 647-A
89566,30041,1330,294
95741,57543,116,378
80275,55546,1469,104
113623,44999,921,329
111515,28515,11618,74
105500,21505,542,147
77251,50775,357,749
83357,101968,830,207
81163,58668,6193,190
113324,31704,203,116
120600,28325,1036,78
111711,74668,283,186
109741,49517,404,48
142819,24892,572,178
116920,42050,859,78
67731,21378,470,155
87375,44794,709,361
136498,38619,926,124
67202,21469,179,338
91996,46929,510,96
119705,36139,419,307
130437,50773,7008,608
91816,55331,662,81
72357,51244,3099,252
120332,20434,890,153
143611,25599,13999,100
136936,38452,15037,2789
96192,35391,1007,66
105486,16647,373,91
135422,48060,2773,128
87744,40873,5030,214
91364,53087,16300,102
127198,25279,508,150
131561,86265,2201,72
136929,24599,5655,216
96773,36023,6734,53
96918,37032,457,130
89583,55555,2153,99
105882,31892,608,215
69763,63759,454,88
93282,22126,284,64
80687,28880,255,382
89203,35515,145,262
53079,22174,352,126
98204,42289,569,204
107467,26080,772,194
99831,64115,31498,122
64676,136879,660,677
113698,78129,22846,266
104685,44450,1095,194
86785,114385,718,333
83582,116762,253,172
79790,24873,2544,307
101344,34705,21120,36
100031,55623,62384,326
88895,39861,6111,179
113694,37621,391,63
67309,21502,36591,48
113173,91145,638,3932
155190,24519,591,74
72759,26343,1175,209
88145,40269,12354,2702
95872,85193,1327,162
75428,32915,845,676
137571,34988,1237,114
93926,35298,6342,170
78949,59038,248,146
88409,54958,23094,438
46200,37162,294,215
94096,18781,2503,370
171507,87753,496,148
81499,28998,759,149
176109,31291,260,158
178075,24754,1155,195
66891,59449,16948,166
76689,31018,308,176
109820,32598,703,98
79013,16672,422,138
187094,32953,647,365
92730,38502,1914,133
137493,41381,547,179
72244,20355,17087,60
124214,57911,557,191
159549,54515,1828,440
79559,36535,354,160
146107,55268,392,127
68486,26444,9269,66
97549,44974,34695,173
107135,47772,13866,375
163742,40751,784,32
117690,49398,428,65
67837,24736,164,187
121681,29814,17930,301
106372,41015,569,314
129670,81750,1002,113
80782,55501,129,243
115980,42129,1273,289
97893,45616,25394,115
128021,33817,38433,152
117447,35707,2140,210
117370,27811,1259,115
84684,46881,639,80
125546,125524,1528,114
150297,123064,750,3732
115776,76516,852,136
86119,27319,903,151
85014,38038,388,95
66912,52270,4141,244
88553,52944,551,298
88506,35970,19598,81
107365,41904,257,284
120325,61295,271,384
83471,68590,230,132
100230,25588,537,372
110633,65009,723,65
118421,30218,1288,99
77286,37438,2904,538
147642,26158,293,193
125347,63304,379,393
82161,45950,2115,279
64626,57041,428,275
174656,57769,521,494
90847,69011,27477,94
88046,33075,775,171
93871,41627,6959,32
112978,64467,586,191
103428,41619,358,82
106506,101585,3096,91
148018,52177,258,345
109061,31180,1564,161
108860,25656,681,121
84950,33076,344,512
110171,60114,14943,149
90602,31960,1255,95
86602,18632,12486,929
43378,46315,820,221
91641,19546,1974,52
109983,30976,1072,220
107713,66758,1101,90
121756,63007,1655,358
138997,45088,1727,83
96850,60748,1059,56
63846,73232,4716,3372
107044,33684,692,332
134737,26388,489,154
110199,44348,636,442
159070,51052,4841,261
166106,67645,9139,122
112716,50547,1903,113
113695,65024,1410,145
73759,65787,2210,200
136276,25684,310,152
86823,84257,23573,328
99208,20599,714,109
61714,87945,2809,155
83958,37763,237,2576
63007,37837,182,94
80302,28115,2095,364
121852,29391,657,84
72767,33197,107,1813
106686,36704,624,81
93843,15737,7553,200
106322,31429,1371,1422
96154,107308,1244,121
163619,24303,814,75
134803,46913,407,109
112855,99802,1493,223
133476,21943,307,437
50434,54282,384,1401
108635,47875,587,163
82336,103905,13985,204
60395,49015,1741,104
79503,54359,304,118
98673,46900,159,5687
74329,23115,9600,263
121159,34285,10282,216
83647,41316,5836,300
95629,12688,41071,104
112962,38081,856,403
122788,45205,1550,224
118737,28329,399,181
97101,55252,2575,113
58969,31327,303,174
98575,63846,1258,92
141237,38179,430,359
97256,38894,5191,130
116488,35609,1877,398
119195,53535,549,268
136157,35322,365,76
174981,38022,872,23
89752,47597,167,254
123114,39581,848,255
143800,67704,520,170
205538,36574,346,264
108562,14374,977,61
91174,21530,816,276
62598,29447,983,413
86232,52084,1495,125
98492,73995,2454,142
111763,89024,840,162
105139,46405,195,117
105655,35525,213,322
74487,30133,782,39
75314,115036,2165,1051
110016,28997,651,45
88854,54969,1540,121
119296,62578,1086,337
184698,31884,404,131
86960,41945,400,371
93188,39884,726,3361
64426,47196,1039,401
90637,63575,305,232
107582,76363,6775,579
132998,32085,776,68
86373,70520,809,119
94967,27451,699,50
110895,29125,102,86
154286,15617,2995,164
91244,23219,155,119
123652,37093,312,136
111915,67966,467,91
104247,42760,404,186
83804,40392,849,68
125767,30543,2243,162
87492,48098,114,135
90559,78224,1006,139
122053,37418,18951,166
134583,16600,162,2062
101297,48884,930,775
72614,42093,679,209
160107,67664,614,77
132370,28713,763,139
94861,49730,1063,226
97721,47702,472,99
142031,84166,476,82
108291,22210,682,3818
102305,27946,655,239
117738,84847,555,236
96312,20935,1066,41
61383,30347,830,197
96534,22609,924,390
62010,51020,15355,412
100646,37924,830,318
120735,29020,710,231
71961,32353,422,206
106941,39205,37281,239
81838,30916,914,344
137585,23030,1206,161
63702,32740,351,86
60510,30045,179,136
107675,78126,1165,299
106629,86789,21544,69
160118,68768,1088,94
117123,51493,23234,199
110756,74313,192,123
110195,15545,2467,130
72925,29296,1227,157
64661,25179,600,295
138200,52081,20953,91
89718,65396,1695,182
119119,44431,1147,111
132412,44809,2420,1618
89762,23652,360,103
105696,43212,1183,223
77634,18674,1362,78
141278,47970,12919,133
99180,30488,421,215
142627,18708,1364,167
77490,92635,13379,135
70191,52388,2116,309
55513,71054,16391,139
139076,61326,2098,74
121602,99647,1014,257
127817,22756,1588,200
88616,36907,4646,222
121769,39914,432,135
145387,42570,592,104
128800,93827,1078,166
75932,31419,587,70
160147,50732,16487,275
160773,33051,958,125
54670,44123,646,277
74377,30182,159,53
127329,39034,221,1081
70412,27574,2525,85
80517,61104,106,270
103551,19268,21515,70
108826,72960,504,613
89003,53918,818,81
121205,60485,2196,149
129949,24523,238,121
86667,58546,37263,82
93019,54988,2139,166
68138,33571,377,127
75641,43220,838,310
60491,41499,511,32
97992,41313,4565,47
74231,47443,256,476
68937,31743,10348,356
68368,44993,983,57
83338,45086,330,61
97196,88681,402,142
77828,81644,1146,115
78707,32430,812,285
129450,38595,195,769
67626,70082,2041,1688
70653,25541,360,27
83148,25200,129,337
95733,19209,893,2070
63545,61272,1073,136
71266,37367,805,427
100997,20552,182,359
98395,25572,143,72
105498,50850,618,241
69120,35874,8345,149
170202,107000,487,124
78457,39631,699,140
84596,47483,1408,93
85505,20864,17684,92
150132,33589,10451,160
54549,65600,45160,175
161356,49281,985,375
97832,16573,31125,132
85592,30736,12611,344
111160,71740,229,71
104890,22900,7396,264
159193,48726,15134,185
99119,26267,384,110
64428,68490,786,92
90551,35319,543,230
114020,29049,418,70
115337,41298,39882,67
100250,27818,373,115
107736,42362,13808,34
118827,58414,1035,353
103690,27731,322,103
84206,64922,715,435
77161,49925,806,50
94303,28944,32704,160
93966,34508,538,216
114328,51515,19667,136
138393,43026,8684,495
84041,12906,960,294
79272,41277,840,242
119153,78216,716,326
96811,111229,11903,5274
135276,22932,28765,111
92917,47441,215,135
79830,17794,545,136
145821,41382,997,524
93902,72633,18559,258
52706,56935,80,82
76870,63662,740,163
70570,31969,471,131
105538,46892,218,838
91727,44717,8481,222
168333,41639,2913,254
73361,36745,1214,627
80724,53164,681,208
90195,32582,1537,91
109225,36891,1060,136
112616,16280,348,124
66079,21177,5410,116
82530,45543,791,2475
117669,21626,111,71
125521,95530,304,126
104578,22725,1535,187
105796,28535,396,336
136227,19906,169,63
101218,21187,450,269
98712,29760,1584,81
81171,101167,361,207
162954,28278,286,62
162274,33535,7287,562
102826,41780,286,372
81752,25178,704,156
114257,28866,1008,87
75757,28104,26710,72
122387,22394,1580,110
94216,77131,137,145
139013,40581,14059,51
95891,42289,598,193
80940,37800,1423,421
109292,26410,1264,63
96499,52397,9173,163
141727,48608,493,137
115013,51532,564,74
78036,30758,218,113
63102,46459,1081,119
92551,35538,854,21
105266,39912,1729,409
87817,18552,376,1254
108005,35099,319,200
66463,88681,1067,213
85491,54231,2786,49
120283,23459,268,151
109070,32682,683,163
169528,68606,1517,187
101546,28873,2257,349
108319,40420,688,111
100578,40419,1024,54
73833,57308,195,174
67023,65783,78404,321
93582,45260,1354,237
109262,70200,1337,75
132413,75482,13,499
124239,88817,10219,70
88007,36207,367,220
115437,37644,677,75
136101,69064,758,64
97895,34406,44105,178
89617,28858,188,123
109043,45140,421,30
108658,44513,215,2748
96889,20008,516,230
95878,41046,2389,158
92814,56423,3940,406
115661,15193,1168,56
95201,67864,466,206
109857,47817,398,76
133983,37344,417,61
80934,56484,1019,60
71172,19164,270,95
97469,48529,122,407
97602,43657,279,78
132456,56951,1227,173
119916,42429,1213,74
63423,76801,24192,66
60019,76434,719,299
95692,44733,20493,135
132076,19129,494,427
121357,86936,11394,65
117182,69953,1028,1353
138911,46640,602,96
120582,20954,923,85
116312,35139,589,102
115563,55619,3180,45
95018,39210,978,340
73673,35837,60908,156
88597,16817,1356,170
150810,30562,6743,227
114537,77609,704,113
137802,53056,223,341
84363,39684,1856,927
112028,42893,1452,1051
93342,42185,174,69
119734,64688,3445,216
82660,56087,13715,203
70460,38436,11613,524
124005,34982,3654,205
102442,28904,150,187
65592,37480,794,206
175088,54256,25401,347
97140,28400,10892,225
110118,35342,1256,142
78049,64603,400,189
87889,16758,948,41
115538,26825,231,329
81403,44517,85,3219
152554,31217,329,39
91232,55437,213,174
82393,41311,5542,139
91399,18512,1389,75
100096,46291,282,90
108883,25433,2534,235
111366,37722,1015,5959
103351,32588,503,343
125673,67547,8382,86
79442,25594,166,159
98865,24233,433,110
101858,45317,721,106
65951,53817,9694,250
146138,28210,902,106
129183,67713,288,188
122870,35687,14231,174
105995,56019,24822,295
102861,44622,1316,189
73120,46993,32156,156
112180,35933,15230,226
127456,67562,328,2705
98607,40230,488,3560
179206,62065,658,233
112906,90289,1077,237
116605,74794,11696,31
99525,28222,11425,313
113750,31309,12294,161
66353,130145,20560,165
123056,40759,4808,144
100523,26322,892,180
79611,34139,509,259
80190,63426,56,177
113980,38726,3517,258
176931,35714,4592,107
216425,25917,575,209
110504,21656,13469,81
133166,34785,931,70
142139,69763,691,156
99688,28225,522,486
129998,50474,3434,182
167143,45704,1792,137
141381,34957,592,113
95731,36409,4046,2280
123517,60893,114,204
58590,26399,17472,146
149721,59957,419,223
84027,28590,407,586
117607,58416,666,74
73115,33306,7131,632
174368,35567,973,110
102887,92536,159,162
132185,81724,290,408
60661,48021,187,280
91554,43036,636,216
116795,79644,6384,112
110518,36277,7907,478
139464,28171,496,319
108848,49478,8218,85
74170,39259,275,244
83904,42339,630,61
100867,37263,3730,670
97674,52140,324,161
85906,47610,611,149
135850,50508,62675,419
127346,32525,515,100
86236,37719,634,59
112198,26488,863,43
109940,53481,161,172
103741,30851,991,114
87523,28863,1022,160
93324,30206,1255,189
99025,37241,978,684
96484,20351,6894,61
97034,49274,536,169
112231,27391,711,29
165982,51730,380,150
185854,33332,1379,95
150386,69688,11367,62
133469,34046,526,217
88952,37873,294,1949
68722,34626,26279,421
97856,59810,65431,64
118122,29862,5712,5564
131009,23730,205,97
63554,54246,250,161
155550,81936,12611,388
64486,26150,1268,163
81255,61009,259,87
66988,33707,5273,255
89866,34351,8169,49
91138,39698,307,217
118084,33286,459,350
66163,34866,43518,126
70383,60265,801,80
172223,34911,228,44
84193,47489,20666,228
118318,31362,222,235
117031,82906,505,91
75719,57510,458,206
75989,73391,156,288
79030,39493,423,26
115573,32203,19225,238
61778,37357,5245,891
91644,23321,446,197
105454,41805,1052,77
135274,27879,1021,90
134538,41963,743,90
91767,58142,415,187
97046,50004,472,317
76421,48178,1391,4149
107768,31481,55069,79
90888,51830,1019,155
136889,18167,142,233
115353,28932,438,172
110237,37502,861,259
112694,31541,433,821
88046,25097,464,207
90474,24955,290,115
118037,29461,528,108
86216,39508,96,120
120257,51886,252,281
73214,32623,896,188
130528,36421,7104,110
158972,40852,646,95
73665,23775,172,74
68310,66587,974,228
99489,57697,1838,389
77695,43020,74,137
137952,24119,1045,75
96723,31900,681,35
86249,37801,26781,786
90016,72504,5189,319
92413,69209,645,66
104297,34482,4323,271
101708,31961,1369,108
98973,61947,199,247
67086,40703,6487,51
55871,96767,203,198
90695,64151,185,104
104139,49862,162,140
103760,24997,81589,146
84796,33366,888,138
93449,60924,930,51
102006,58519,222,225
128615,53261,335,44
64691,42470,673,393
163557,29816,725,101
125170,49402,2475,678
127999,24888,1206,64
63284,36597,7880,330
117545,36522,1055,164
82756,75881,285,51
134062,41210,547,113
108009,40143,476,515
73540,23040,19173,141
108683,54355,1058,177
84320,75944,1502,106
107544,32332,541,107
148758,35800,719,57
111947,54684,709,144
104944,44290,337,109
144999,81759,301,211
87838,58096,2013,82
74826,54081,311,127
75672,16274,312,245
59663,43723,455,249
70647,34932,1028,252
108269,31875,679,199
212897,28325,315,61
74658,25069,998,123
144160,31851,13316,66
95424,57828,490,142
70351,40666,763,149
82664,36854,190,375
112115,36723,21336,112
198488,81771,7933,162
87106,37609,8805,129
91701,43570,1252,206
101584,22486,18222,124
147294,34646,541,24
101742,38859,478,107
87099,62905,15376,38
154392,34999,10344,178
94651,68428,1150,181
74829,85424,588,71
79587,30778,635,90
89713,32967,417,223
117661,42453,352,272
117631,39058,43252,159
151567,22221,4225,166
154980,25802,549,64
109063,71468,552,221
109423,31818,575,303
90874,47289,719,105
83202,47361,1212,105
128574,34954,499,116
117885,74845,590,149
65518,33467,2729,91
116083,43522,1945,388
115264,28155,26957,148
125566,41928,207,127
100787,36957,635,52
90937,21413,2154,678
100424,35064,420,77
65883,14809,151,276
112438,64793,589,1085
141365,75640,4585,80
82230,52934,908,46
93387,30048,44662,976
99075,27589,152,177
55941,53685,17410,2652
75844,88430,654,230
155589,45541,2534,94
86659,47213,591,4417
133378,46583,19341,164
80411,12521,1371,178
98237,79388,912,247
65357,81688,1159,20
127443,36631,427,208
58998,45853,468,236
132893,15875,1228,680
74200,33075,77497,460
84712,29626,1304,70
89246,55824,917,385
77781,23940,407,345
77568,44419,607,94
120072,36862,394,376
85673,26445,2034,176
61465,67749,689,65
141195,20590,316,227
145763,34968,249,333
66074,28269,512,1043
97945,25295,219,202
142114,45024,1192,368
106894,31756,1414,118
103851,39802,2552,75
168117,45221,615,147
66235,35113,2818,162
142396,35591,616,94
133369,57686,162,107
75638,41313,359,163
108635,45219,3686,82
57863,37744,814,237
129487,17331,1745,318
120563,36091,430,107
112573,81025,1128,197
107748,29225,300,203
82063,49336,58622,74
105892,55563,956,487
84116,26395,28478,186
93923,58732,250,155
73540,86504,762,177
105938,27111,282,223
60221,54564,477,2582
63815,59819,464,9371
83775,39041,13764,172
102405,38630,15841,212
108774,30641,358,74
61223,68824,16555,414
67361,29247,216,70
119710,56547,692,4620
158295,31258,2473,123
79139,24929,388,187
75987,29757,1031,321
97877,33652,23132,188
53766,33110,1431,2582
105341,50101,428,324
133172,63260,1512,125
177359,30507,882,273
94037,36947,529,80
116588,16688,32128,201
91204,41124,22141,113
96034,81782,2293,375
90695,36092,16797,129
104317,32736,486,306
107380,21145,21373,28
119567,30695,1740,104
188505,28329,24642,169
99424,38883,548,45
77287,35721,31557,90
119331,50459,252,1281
165239,29224,284,262
87553,58906,1780,151
136459,22453,383,169
103126,65718,4739,1106
88930,47541,339,81
74423,37985,1071,275
94066,62465,4547,80
101185,29418,611,211
95178,44890,2322,391
80068,59938,150,291
102333,64843,262,81
107520,46557,16530,112
70699,42032,427,200
162729,48158,8366,211
75137,57392,264,332
145088,47327,1651,48
94207,23734,326,182
128562,54277,1583,759
49446,47241,634,205
94643,11618,4688,890
122392,42580,322,4070
90146,45676,117,158
116719,40191,695,50
92996,24782,17931,82
139505,156540,223,173
104668,16236,686,625
90647,34917,1484,63
92500,54318,145,405
79288,39284,626,249
91094,41284,570,231
103701,61791,18793,294
117932,27790,7634,515
84838,30091,27123,92
78265,26951,590,164
92050,26334,728,94
106662,56800,1304,123
85138,39409,533,71
110759,37526,144,61
107438,58770,535,298
120174,24224,942,126
52820,44979,391,3789
125799,22619,261,385
70994,21390,494,105
97343,31573,874,100
179393,43172,600,144
53485,37965,551,531
92200,28422,19130,411
101811,39552,255,235
95420,38250,137,301
122561,30034,585,278
138841,43854,761,1648
121783,61200,305,221
115614,52831,422,171
92612,36119,370,287
91422,25465,686,600
147715,66426,4924,48
90832,54461,393,73
110620,175804,828,112
97714,50890,432,89
121371,18739,4671,469
115535,40499,1029,230
98326,48526,139,198
80212,71451,24212,82
129797,41623,11197,145
120029,76657,1278,253
85573,25704,826,274
138294,43004,41,311
151214,67099,933,144
93777,62194,22692,367
119702,49946,316,1919
165213,46700,428,333
104311,30633,368,141
118372,20047,406,211
68750,42425,232,203
81041,106651,819,173
129082,28136,468,95
74685,18264,385,303
122679,26971,11346,247
193336,16850,12683,145
69675,33734,536,138
82193,65062,1659,155
63569,38247,8537,179
77651,67306,943,157
136762,57180,316,111
53843,74105,1816,141
147404,45084,21131,828
62624,49646,433,102
58001,86632,880,256
71878,80658,323,81
128007,35446,689,63
136625,42328,1632,463
97429,30419,210,56
108556,42052,437,125
66430,32823,20169,324
108953,47306,1083,154
125053,34608,279,56
95410,47630,871,65
153115,29759,343,386
93675,34196,239,136
91296,34093,2375,225
80771,47042,316,124
148343,28812,11197,105
149938,75217,1125,127
95068,98186,462,84
135579,53434,1495,436
79605,44612,17132,296
117513,44330,56978,88
134858,36873,1038,45
104095,16032,961,49
81358,58049,641,123
97821,34579,15266,218
72252,32524,19028,296
108961,48398,2162,269
82606,26698,839,72
132940,52365,16231,39
108248,23875,450,173
73651,28104,619,112
131315,40206,832,120
93767,57348,2318,144
84372,49151,811,467
112306,49304,235,153
134877,79475,3282,103
112241,29463,554,41
71280,46121,1142,190
99173,23772,1462,69
84844,21607,1086,500
85759,30188,569,113
102366,72125,384,153
83968,26496,1115,171
162480,40260,398,205
69454,45828,376,138
79743,42480,1000,139
71844,30207,143,228
128152,47042,16527,155
170417,52910,9857,235
58928,36733,613,75
78453,22695,204,61
95935,35894,2038,109
181512,31241,1872,323
73925,66150,377,257
94061,31986,517,48
89837,18925,23103,370
95587,35545,659,247
112712,32333,432,236
78533,54134,34016,2859
78431,27232,988,216
69058,40578,985,416
73586,38984,1316,2045
95085,25755,925,112
87849,69186,454,176
84904,69879,90,154
112633,30483,191,252
99119,53488,119,220
107949,42286,7488,132
78501,56860,162,107
148058,27072,42169,177
79598,32597,735,106
114763,53873,909,500
81848,24317,16894,171
180327,38702,1407,166
103196,42965,924,263
78335,37690,1670,263
149277,80052,485,84
179305,47219,1051,362
65987,50905,19017,435
195616,24287,17489,229
118467,56307,309,84
154293,27469,1804,2129
73443,68727,1595,64
129155,55455,299,366
113968,54103,1092,106
68612,16528,10405,59
69105,39528,282,125
44370,57548,1071,62
100628,45899,772,189
70478,25219,3524,395
102367,48665,829,61
130643,31455,21176,328
88807,41512,918,151
138279,58934,373,111
129796,41863,317,272
132741,21123,29778,207
150477,33880,123,241
76349,32343,270,71
104618,36355,34953,147
149094,60407,2491,160
59577,79043,477,3276
145861,50764,1574,59
74269,40079,640,106
87993,48987,18822,86
115347,30105,697,138
134890,30387,1098,143
112864,36399,713,323
95060,64886,1409,294
66268,25626,1259,233
107181,29233,154,67
99469,48645,290,64
101736,39300,4325,159
111149,48054,290,180
99683,44454,1042,174
87566,115704,651,411
107921,29274,324,43
77404,20224,48726,140
76586,27672,9261,98
87312,78498,768,218
123570,82123,319,306
89953,32203,413,96
77857,53066,93,95
155577,36394,3967,253
104991,50140,429,61
70350,22296,693,148
92787,52024,5784,124
127274,32981,98,185
104471,30684,22248,254
90289,33276,253,31
141844,48530,363,194
73914,30117,662,127
138732,24596,2980,82
58004,43118,611,672
96738,42150,37431,60
63733,58354,1546,135
124667,48713,799,142
61772,18561,1031,242
87873,62291,1026,57
101568,50427,653,110
113043,51607,2316,283
170117,23362,701,158
132417,54723,1756,511
113855,25724,1251,400
101108,22905,799,71
119102,27190,152,374
189547,22458,30017,79
114569,63646,578,152
84434,42030,275,161
121472,32510,854,279
104306,26158,178,70
95797,30915,180,212
145856,58376,602,205
